,lemma,pos,text|lemma|@id,text|sentence|@id,sentences,lexelt|sense|@id
0,group,NOUN,d000.s000.t000,d000.s000,U.N. group drafts plan to reduce emissions,group%1:03:00::
1,plan,NOUN,d000.s000.t001,d000.s000,U.N. group drafts plan to reduce emissions,plan%1:09:00::
2,emission,NOUN,d000.s000.t002,d000.s000,U.N. group drafts plan to reduce emissions,emission%1:27:00::
3,climate,NOUN,d000.s001.t000,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",climate%1:26:00::
4,conference,NOUN,d000.s001.t001,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",conference%1:14:00::
5,posturing,NOUN,d000.s001.t002,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",posturing%1:07:00::
6,recrimination,NOUN,d000.s001.t003,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",recrimination%1:10:00::
7,focus,NOUN,d000.s001.t004,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",focus%1:09:00::
8,friday,NOUN,d000.s001.t005,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",friday%1:28:00::
9,release,NOUN,d000.s001.t006,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",release%1:22:00::
10,document,NOUN,d000.s001.t007,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",document%1:10:00::
11,reduction,NOUN,d000.s001.t008,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",reduction%1:04:00::
12,year,NOUN,d000.s001.t009,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",year%1:28:01::
13,burden,NOUN,d000.s001.t010,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",burden%1:09:01::
14,term,NOUN,d000.s001.t011,d000.s001,"The U.N.-sponsored climate conference-- characterized so far by unruly posturing and mutual recriminations-- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years, with industrialized nations shouldering most of the burden in the near term.",term%1:28:00::
15,text,NOUN,d000.s002.t000,d000.s002,"The text, which could provide the basis for a final political deal to regulate greenhouse gases, highlighted the remaining obstacles as much as it illuminated a path forward.",text%1:10:00::
16,basis,NOUN,d000.s002.t001,d000.s002,"The text, which could provide the basis for a final political deal to regulate greenhouse gases, highlighted the remaining obstacles as much as it illuminated a path forward.",basis%1:09:00::
17,deal,NOUN,d000.s002.t002,d000.s002,"The text, which could provide the basis for a final political deal to regulate greenhouse gases, highlighted the remaining obstacles as much as it illuminated a path forward.",deal%1:10:00::
18,greenhouse_gas,NOUN,d000.s002.t003,d000.s002,"The text, which could provide the basis for a final political deal to regulate greenhouse gases, highlighted the remaining obstacles as much as it illuminated a path forward.",greenhouse_gas%1:27:00::
19,obstacle,NOUN,d000.s002.t004,d000.s002,"The text, which could provide the basis for a final political deal to regulate greenhouse gases, highlighted the remaining obstacles as much as it illuminated a path forward.",obstacle%1:09:00::
20,path,NOUN,d000.s002.t005,d000.s002,"The text, which could provide the basis for a final political deal to regulate greenhouse gases, highlighted the remaining obstacles as much as it illuminated a path forward.",path%1:04:00::
21,advance,NOUN,d000.s003.t000,d000.s003,"But it was seen as an important advance in a negotiation that is running out of time, with more than 100 world leaders arriving in Copenhagen next week.",advance%1:11:01::
22,negotiation,NOUN,d000.s003.t001,d000.s003,"But it was seen as an important advance in a negotiation that is running out of time, with more than 100 world leaders arriving in Copenhagen next week.",negotiation%1:10:00::
23,time,NOUN,d000.s003.t002,d000.s003,"But it was seen as an important advance in a negotiation that is running out of time, with more than 100 world leaders arriving in Copenhagen next week.",time%1:28:05::
24,world,NOUN,d000.s003.t003,d000.s003,"But it was seen as an important advance in a negotiation that is running out of time, with more than 100 world leaders arriving in Copenhagen next week.",world%1:05:00::
25,leader,NOUN,d000.s003.t004,d000.s003,"But it was seen as an important advance in a negotiation that is running out of time, with more than 100 world leaders arriving in Copenhagen next week.",leader%1:18:00::
26,copenhagen,NOUN,d000.s003.t005,d000.s003,"But it was seen as an important advance in a negotiation that is running out of time, with more than 100 world leaders arriving in Copenhagen next week.",copenhagen%1:15:00::
27,week,NOUN,d000.s003.t006,d000.s003,"But it was seen as an important advance in a negotiation that is running out of time, with more than 100 world leaders arriving in Copenhagen next week.",week%1:28:02::
28,working_group,NOUN,d000.s004.t000,d000.s004,"Forged by a U.N. ad-hoc working group, the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term.",working_group%1:14:00::
29,text,NOUN,d000.s004.t001,d000.s004,"Forged by a U.N. ad-hoc working group, the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term.",text%1:10:00::
30,money,NOUN,d000.s004.t002,d000.s004,"Forged by a U.N. ad-hoc working group, the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term.",money%1:21:00::
31,country,NOUN,d000.s004.t003,d000.s004,"Forged by a U.N. ad-hoc working group, the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term.",country%1:14:00::
32,one,NOUN,d000.s004.t004,d000.s004,"Forged by a U.N. ad-hoc working group, the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term.",one%1:09:00::
33,global_warming,NOUN,d000.s004.t005,d000.s004,"Forged by a U.N. ad-hoc working group, the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term.",global_warming%1:22:00::
34,term,NOUN,d000.s004.t006,d000.s004,"Forged by a U.N. ad-hoc working group, the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term.",term%1:28:00::
35,range,NOUN,d000.s005.t000,d000.s005,"And it provides a range of options for the key questions, including how developed and major emerging economies would cut their carbon output, and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate.",range%1:07:00::
36,option,NOUN,d000.s005.t001,d000.s005,"And it provides a range of options for the key questions, including how developed and major emerging economies would cut their carbon output, and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate.",option%1:09:00::
37,question,NOUN,d000.s005.t002,d000.s005,"And it provides a range of options for the key questions, including how developed and major emerging economies would cut their carbon output, and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate.",question%1:10:01::
38,upper_limit,NOUN,d000.s005.t003,d000.s005,"And it provides a range of options for the key questions, including how developed and major emerging economies would cut their carbon output, and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate.",upper_limit%1:23:00::
39,temperature,NOUN,d000.s005.t004,d000.s005,"And it provides a range of options for the key questions, including how developed and major emerging economies would cut their carbon output, and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate.",temperature%1:07:00::
40,rise,NOUN,d000.s005.t005,d000.s005,"And it provides a range of options for the key questions, including how developed and major emerging economies would cut their carbon output, and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate.",rise%1:11:00::
41,lot,NOUN,d000.s006.t000,d000.s006,"It gives a lot of flexibility to the process, said John Coequyt, senior Washington representative for the Sierra Club.",lot%1:23:00::
42,flexibility,NOUN,d000.s006.t001,d000.s006,"It gives a lot of flexibility to the process, said John Coequyt, senior Washington representative for the Sierra Club.",flexibility%1:07:01::
43,process,NOUN,d000.s006.t002,d000.s006,"It gives a lot of flexibility to the process, said John Coequyt, senior Washington representative for the Sierra Club.",process%1:04:00::
44,washington,NOUN,d000.s006.t003,d000.s006,"It gives a lot of flexibility to the process, said John Coequyt, senior Washington representative for the Sierra Club.",washington%1:14:00::
45,representative,NOUN,d000.s006.t004,d000.s006,"It gives a lot of flexibility to the process, said John Coequyt, senior Washington representative for the Sierra Club.",representative%1:18:02::
46,document,NOUN,d000.s007.t000,d000.s007,"Michael Zammit Cutajar, who drafted the six-page document, boiled down a 180-page negotiation text to focus on what the U.N. 's top climate official, Yvo de Boer, described as`` the big picture.''",document%1:10:00::
