,lemma,pos,text|lemma|@id,text|sentence|@id,sentences,lexelt|sense|@id
0,art,NOUN,d000.s000.t000,d000.s000,"The art of change-ringing is peculiar to the English, and, like most English peculiarities, unintelligible to the rest of the world.",art%1:09:00::
1,change_ringing,NOUN,d000.s000.t001,d000.s000,"The art of change-ringing is peculiar to the English, and, like most English peculiarities, unintelligible to the rest of the world.",change_ringing%1:04:00::
2,peculiar,ADJ,d000.s000.t002,d000.s000,"The art of change-ringing is peculiar to the English, and, like most English peculiarities, unintelligible to the rest of the world.",peculiar%5:00:00:specific:00
3,english,NOUN,d000.s000.t003,d000.s000,"The art of change-ringing is peculiar to the English, and, like most English peculiarities, unintelligible to the rest of the world.",english%1:18:00::
4,most,ADJ,d000.s000.t004,d000.s000,"The art of change-ringing is peculiar to the English, and, like most English peculiarities, unintelligible to the rest of the world.",most%3:00:02::
5,english,ADJ,d000.s000.t005,d000.s000,"The art of change-ringing is peculiar to the English, and, like most English peculiarities, unintelligible to the rest of the world.",english%3:01:00::
6,peculiarity,NOUN,d000.s000.t006,d000.s000,"The art of change-ringing is peculiar to the English, and, like most English peculiarities, unintelligible to the rest of the world.",peculiarity%1:07:02::
7,unintelligible,ADJ,d000.s000.t007,d000.s000,"The art of change-ringing is peculiar to the English, and, like most English peculiarities, unintelligible to the rest of the world.",unintelligible%5:00:00:incomprehensible:00
8,rest,NOUN,d000.s000.t008,d000.s000,"The art of change-ringing is peculiar to the English, and, like most English peculiarities, unintelligible to the rest of the world.",rest%1:24:00::
9,world,NOUN,d000.s000.t009,d000.s000,"The art of change-ringing is peculiar to the English, and, like most English peculiarities, unintelligible to the rest of the world.",world%1:14:02::
10,tailor,NOUN,d000.s001.t000,d000.s001,"Dorothy L. Sayers,`` The Nine Tailors``",tailor%1:18:00::
11,england,NOUN,d000.s002.t000,d000.s002,"ASLACTON, England--",england%1:15:00::
12,scene,NOUN,d000.s003.t000,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",scene%1:09:00::
13,evoke,VERB,d000.s003.t001,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",evoke%2:32:01::
14,rural,ADJ,d000.s003.t002,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",rural%3:00:00::
15,england,NOUN,d000.s003.t003,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",england%1:15:00::
16,lovely,ADJ,d000.s003.t004,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",lovely%5:00:00:beautiful:00
17,ancient,ADJ,d000.s003.t005,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",ancient%5:00:00:old:02
18,stone,NOUN,d000.s003.t006,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",stone%1:06:00::
19,church,NOUN,d000.s003.t007,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",church%1:06:00::
20,stand,VERB,d000.s003.t008,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",stand%2:42:03::
21,field,NOUN,d000.s003.t009,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",field%1:17:00::
22,sound,NOUN,d000.s003.t010,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",sound%1:07:00::
23,bell,NOUN,d000.s003.t011,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",bell%1:06:00::
24,cascade,VERB,d000.s003.t012,d000.s003,"Of all scenes that evoke rural England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to evensong.",cascade%2:38:00::
