,lemma,pos,text|lemma|@id,text|sentence|@id,sentences,lexelt|sense|@id
0,refer,VERB,d000.s000.t000,d000.s000,Your Oct. 6 editorial`` The Ill Homeless`` referred to research by us and six of our colleagues that was reported in the Sept. 8 issue of the Journal of the American Medical Association.,refer%2:32:01::
1,research,NOUN,d000.s000.t001,d000.s000,Your Oct. 6 editorial`` The Ill Homeless`` referred to research by us and six of our colleagues that was reported in the Sept. 8 issue of the Journal of the American Medical Association.,research%1:04:00::
2,report,VERB,d000.s000.t002,d000.s000,Your Oct. 6 editorial`` The Ill Homeless`` referred to research by us and six of our colleagues that was reported in the Sept. 8 issue of the Journal of the American Medical Association.,report%2:32:04::
3,comment,NOUN,d000.s001.t000,d000.s001,Your comments implied we had discovered that the`` principal cause`` of homelessness is to be found in the large numbers of mentally ill and substance-abusing people in the homeless population.,comment%1:10:00::
4,imply,VERB,d000.s001.t001,d000.s001,Your comments implied we had discovered that the`` principal cause`` of homelessness is to be found in the large numbers of mentally ill and substance-abusing people in the homeless population.,imply%2:32:00::
5,discover,VERB,d000.s001.t002,d000.s001,Your comments implied we had discovered that the`` principal cause`` of homelessness is to be found in the large numbers of mentally ill and substance-abusing people in the homeless population.,discover%2:31:01::
6,cause,NOUN,d000.s001.t003,d000.s001,Your comments implied we had discovered that the`` principal cause`` of homelessness is to be found in the large numbers of mentally ill and substance-abusing people in the homeless population.,cause%1:11:00::
7,find,VERB,d000.s001.t004,d000.s001,Your comments implied we had discovered that the`` principal cause`` of homelessness is to be found in the large numbers of mentally ill and substance-abusing people in the homeless population.,find%2:39:02::
8,make,VERB,d000.s002.t000,d000.s002,We have made no such statement.,make%2:36:12::
9,statement,NOUN,d000.s002.t001,d000.s002,We have made no such statement.,statement%1:10:06::
10,become,VERB,d000.s003.t000,d000.s003,It is clear that most mentally ill people and most alcoholics do not become homeless.,become%2:30:00::
11,cause,NOUN,d000.s004.t000,d000.s004,The`` causes`` of homelessness are poorly understood and complex in any individual case.,cause%1:11:00::
12,understand,VERB,d000.s004.t001,d000.s004,The`` causes`` of homelessness are poorly understood and complex in any individual case.,understand%2:31:00::
13,quote,VERB,d000.s005.t000,d000.s005,In quoting from our research you emphasized the high prevalance of mental illness and alcoholism.,quote%2:32:02::
14,emphasize,VERB,d000.s005.t001,d000.s005,In quoting from our research you emphasized the high prevalance of mental illness and alcoholism.,emphasize%2:32:00::
